1,0.0
2,0.0
3,0.0
4,0.002
5,0.002
6,0.01
7,0.015
8,0.013
9,0.048
10,0.04
11,0.048
12,0.054
13,0.098
14,0.085
15,0.067
16,0.098
17,0.063
18,0.087
19,0.09
20,0.088
21,0.104
22,0.065
23,0.079
24,0.077
25,0.094
26,0.083
27,0.119
28,0.075
29,0.065
30,0.069
31,0.077
32,0.075
33,0.073
34,0.067
35,0.071
36,0.062
37,0.077
38,0.087
39,0.065
40,0.063
41,0.052
42,0.042
43,0.042
44,0.046
45,0.05
46,0.052
47,0.065
48,0.067
49,0.056
50,0.085
51,0.102
52,0.1
53,0.094
54,0.092
55,0.094
56,0.108
57,0.102
58,0.088
59,0.104
60,0.115
61,0.071
62,0.063
63,0.06
64,0.056
65,0.063
66,0.058
67,0.037
68,0.058
69,0.087
70,0.038
71,0.056
72,0.071
73,0.06
74,0.052
75,0.052
76,0.037
77,0.062
78,0.056
79,0.044
80,0.073
81,0.048
82,0.063
83,0.06
84,0.06
85,0.062
86,0.096
87,0.077
88,0.102
89,0.119
90,0.092
91,0.083
92,0.085
93,0.058
94,0.096
95,0.115
96,0.127
97,0.094
98,0.14
99,0.112
100,0.075
