1,0.0
2,0.0
3,0.113
4,0.135
5,0.14
6,0.098
7,0.085
8,0.071
9,0.125
10,0.088
11,0.069
12,0.044
13,0.035
14,0.038
15,0.046
16,0.06
17,0.044
18,0.029
19,0.044
20,0.027
21,0.035
22,0.065
23,0.079
24,0.056
25,0.033
26,0.033
27,0.042
28,0.058
29,0.063
30,0.102
31,0.133
32,0.175
33,0.121
34,0.087
35,0.137
36,0.127
37,0.131
38,0.15
39,0.158
40,0.175
41,0.142
42,0.19
43,0.188
44,0.212
45,0.146
46,0.173
47,0.169
48,0.158
49,0.173
50,0.137
51,0.158
52,0.133
53,0.133
54,0.115
55,0.094
56,0.113
57,0.129
58,0.146
59,0.15
60,0.117
61,0.123
62,0.131
63,0.112
64,0.129
65,0.135
66,0.152
67,0.131
68,0.127
69,0.131
70,0.135
71,0.146
72,0.142
73,0.138
74,0.127
75,0.14
76,0.144
77,0.14
78,0.137
79,0.15
80,0.125
81,0.14
82,0.154
83,0.133
84,0.138
85,0.15
86,0.123
87,0.121
88,0.142
89,0.129
90,0.11
91,0.065
92,0.104
93,0.088
94,0.137
95,0.113
96,0.121
97,0.11
98,0.121
99,0.108
100,0.09
