1,0.517
2,0.463
3,0.102
4,0.396
5,0.198
6,0.162
7,0.081
8,0.023
9,0.023
10,0.008
11,0.006
12,0.015
13,0.023
14,0.038
15,0.038
16,0.031
17,0.031
18,0.023
19,0.019
20,0.029
21,0.035
22,0.048
23,0.04
24,0.065
25,0.062
26,0.027
27,0.031
28,0.033
29,0.058
30,0.092
31,0.085
32,0.113
33,0.144
34,0.094
35,0.1
36,0.102
37,0.085
38,0.123
39,0.073
40,0.112
41,0.085
42,0.1
43,0.09
44,0.092
45,0.063
46,0.075
47,0.087
48,0.11
49,0.077
50,0.142
51,0.119
52,0.096
53,0.108
54,0.123
55,0.1
56,0.1
57,0.146
58,0.079
59,0.104
60,0.1
61,0.131
62,0.106
63,0.081
64,0.133
65,0.131
66,0.1
67,0.102
68,0.096
69,0.106
70,0.094
71,0.088
72,0.085
73,0.096
74,0.131
75,0.098
76,0.115
77,0.129
78,0.121
79,0.112
80,0.119
81,0.11
82,0.125
83,0.148
84,0.181
85,0.123
86,0.156
87,0.163
88,0.163
89,0.152
90,0.098
91,0.104
92,0.14
93,0.123
94,0.146
95,0.121
96,0.112
97,0.088
98,0.092
99,0.085
100,0.104
