1,0.0
2,0.0
3,0.138
4,0.135
5,0.125
6,0.173
7,0.137
8,0.113
9,0.102
10,0.131
11,0.1
12,0.073
13,0.075
14,0.054
15,0.054
16,0.063
17,0.046
18,0.048
19,0.04
20,0.052
21,0.052
22,0.052
23,0.063
24,0.071
25,0.042
26,0.075
27,0.081
28,0.1
29,0.092
30,0.058
31,0.05
32,0.071
33,0.065
34,0.042
35,0.071
36,0.038
37,0.052
38,0.056
39,0.038
40,0.088
41,0.079
42,0.056
43,0.073
44,0.06
45,0.071
46,0.075
47,0.06
48,0.062
49,0.037
50,0.033
51,0.04
52,0.048
53,0.042
54,0.048
55,0.058
56,0.062
57,0.06
58,0.044
59,0.042
60,0.042
61,0.054
62,0.062
63,0.042
64,0.067
65,0.096
66,0.06
67,0.056
68,0.075
69,0.083
70,0.087
71,0.069
72,0.037
73,0.052
74,0.071
75,0.06
76,0.062
77,0.031
78,0.063
79,0.052
80,0.081
81,0.073
82,0.069
83,0.077
84,0.09
85,0.06
86,0.104
87,0.09
88,0.102
89,0.087
90,0.077
91,0.079
92,0.087
93,0.071
94,0.094
95,0.104
96,0.09
97,0.085
98,0.077
99,0.106
100,0.083
